host_gene_id,nested_gene_id,nested_gene_name,nested_gene_type,chromosome,nested_start,nested_end,intron_start,intron_end,transcript_id
ENSG00000116151.16,ENSG00000292993.1,ENSG00000292993,lncRNA,chr1,2350414,2352820,2348563,2357431,ENST00001108185.1
ENSG00000116151.16,ENSG00000269896.3,ENSG00000269896,transcribed_processed_pseudogene,chr1,2351644,2351857,2348563,2357431,ENST00001108185.1
ENSG00000116151.16,ENSG00000272420.1,ENSG00000272420,lncRNA,chr1,2363061,2363628,2358716,2372480,ENST00000963690.2
ENSG00000149527.19,ENSG00000224387.1,ENSG00000224387,lncRNA,chr1,2492300,2493258,2491336,2494855,ENST00000449969.6
ENSG00000149527.19,ENSG00000229393.1,ENSG00000229393,lncRNA,chr1,2493437,2494479,2491336,2494855,ENST00000449969.6
ENSG00000238164.7,ENSG00000307979.1,ENSG00000307979,lncRNA,chr1,2550557,2552503,2550275,2554100,ENST00000443892.3
ENSG00000285945.1,ENSG00000283259.1,ENSG00000283259,lncRNA,chr1,2773603,2776473,2768092,2777298,ENST00000648684.1
ENSG00000215912.13,ENSG00000283259.1,ENSG00000283259,lncRNA,chr1,2773603,2776473,2645564,2783608,ENST00000401095.9
ENSG00000142611.18,ENSG00000283572.1,MIR4251,miRNA,chr1,3127975,3128035,3069297,3186124,ENST00001123002.1
ENSG00000142611.18,ENSG00000226286.1,ENSG00000226286,lncRNA,chr1,3132927,3133709,3069297,3186124,ENST00001123002.1
ENSG00000142611.18,ENSG00000306427.1,ENSG00000306427,lncRNA,chr1,3161276,3167152,3069297,3186124,ENST00001123002.1
ENSG00000142611.18,ENSG00000279839.1,ENSG00000279839,TEC,chr1,3205988,3208664,3186475,3244086,ENST00001123002.1
ENSG00000142611.18,ENSG00000306439.1,ENSG00000306439,lncRNA,chr1,3211011,3213146,3186475,3244086,ENST00001123002.1
ENSG00000142611.18,ENSG00000272235.1,ENSG00000272235,lncRNA,chr1,3306636,3310096,3244138,3385151,ENST00001123002.1
ENSG00000142611.18,ENSG00000287828.2,ENSG00000287828,lncRNA,chr1,3312741,3323149,3244138,3385151,ENST00001123002.1
ENSG00000142611.18,ENSG00000286518.1,ENSG00000286518,lncRNA,chr1,3367815,3373928,3244138,3385151,ENST00001123002.1
ENSG00000162591.19,ENSG00000207776.1,MIR551A,miRNA,chr1,3560695,3560790,3547124,3595337,ENST00000485002.6
ENSG00000078900.18,ENSG00000227589.1,TP73-AS3,lncRNA,chr1,3658938,3668772,3652642,3682332,ENST00000604074.6
ENSG00000078900.18,ENSG00000235131.1,TP73-AS2,lncRNA,chr1,3712200,3714298,3707792,3722020,ENST00000604074.6
ENSG00000130764.12,ENSG00000266075.2,RN7SL574P,misc_RNA,chr1,3782815,3783111,3782764,3783995,ENST00000378251.3
ENSG00000130764.12,ENSG00000272153.1,ENSG00000272153,lncRNA,chr1,3785008,3785538,3784112,3786848,ENST00000855510.2
ENSG00000233304.8,ENSG00000226374.4,LINC01345,lncRNA,chr1,3944547,3949024,3941144,3949026,ENST00000456897.6
ENSG00000284668.3,ENSG00000284703.2,ENSG00000284703,lncRNA,chr1,4012921,4019843,3977103,4092792,ENST00000742912.1
ENSG00000284668.3,ENSG00000296871.1,ENSG00000296871,lncRNA,chr1,4043675,4046929,3977103,4092792,ENST00000742912.1
ENSG00000196581.13,ENSG00000287586.1,ENSG00000287586,lncRNA,chr1,4730211,4734992,4712700,4769852,ENST00000880749.2
ENSG00000284692.3,ENSG00000284666.1,ENSG00000284666,lncRNA,chr1,5480787,5482028,5478842,5491143,ENST00000641426.1
ENSG00000289893.2,ENSG00000264341.1,ENSG00000264341,miRNA,chr1,5564071,5564143,5563356,5578935,ENST00000727916.1
ENSG00000289893.2,ENSG00000295108.1,ENSG00000295108,lncRNA,chr1,5597389,5614160,5563356,5752237,ENST00000727917.1
ENSG00000289893.2,ENSG00000295122.1,ENSG00000295122,lncRNA,chr1,5706880,5709714,5563356,5752237,ENST00000727917.1
ENSG00000131697.20,ENSG00000299539.1,ENSG00000299539,lncRNA,chr1,5897461,5902448,5891029,5904616,ENST00000955274.2
ENSG00000116251.13,ENSG00000226944.2,RNF207-AS1,lncRNA,chr1,6204835,6206041,6197757,6208680,ENST00000471204.5
ENSG00000187017.19,ENSG00000265392.1,MIR4252,miRNA,chr1,6429834,6429896,6428420,6440253,ENST00000636330.2
ENSG00000171680.25,ENSG00000297749.1,ENSG00000297749,lncRNA,chr1,6485037,6487704,6477659,6490444,ENST00000377725.5
ENSG00000171680.25,ENSG00000299237.1,ENSG00000299237,lncRNA,chr1,6490640,6494731,6477659,6495515,ENST00000675548.1
ENSG00000299237.1,ENSG00000299253.1,ENSG00000299253,lncRNA,chr1,6490905,6493396,6490748,6494150,ENST00000761774.1
ENSG00000171680.25,ENSG00000299253.1,ENSG00000299253,lncRNA,chr1,6490905,6493396,6477659,6495515,ENST00000675548.1
ENSG00000162408.13,ENSG00000253022.1,RNU6-731P,snRNA,chr1,6540854,6540964,6533442,6541829,ENST00000377705.6
ENSG00000162408.13,ENSG00000229519.2,ENSG00000229519,processed_pseudogene,chr1,6547905,6548619,6545181,6549570,ENST00000377705.6
ENSG00000162413.18,ENSG00000295286.1,ENSG00000295286,lncRNA,chr1,6598943,6600379,6595558,6601796,ENST00001126077.1
ENSG00000162413.18,ENSG00000304810.1,ENSG00000304810,lncRNA,chr1,6612997,6613159,6599453,6614449,ENST00000467612.6
ENSG00000171735.22,ENSG00000227950.1,ENSG00000227950,processed_pseudogene,chr1,6834333,6834618,6825211,6871756,ENST00001082138.1
ENSG00000171735.22,ENSG00000237365.1,CAMTA1-AS3,lncRNA,chr1,7008376,7014279,6825211,7091303,ENST00000700415.2
ENSG00000171735.22,ENSG00000207056.1,RNU1-8P,snRNA,chr1,7219360,7219524,7091372,7249490,ENST00000700415.2
ENSG00000171735.22,ENSG00000310450.1,ENSG00000310450,lncRNA,chr1,7237660,7240057,7091372,7249490,ENST00000700415.2
ENSG00000171735.22,ENSG00000237402.2,CAMTA1-IT1,lncRNA,chr1,7312886,7370277,7249627,7467829,ENST00000700415.2
ENSG00000171735.22,ENSG00000237728.3,CAMTA1-AS2,lncRNA,chr1,7379384,7389915,7249627,7467829,ENST00000700415.2
ENSG00000171735.22,ENSG00000294314.1,ENSG00000294314,lncRNA,chr1,7390031,7411735,7249627,7467829,ENST00000700415.2
ENSG00000171735.22,ENSG00000225126.2,CAMTA1-AS1,lncRNA,chr1,7440491,7441612,7249627,7467829,ENST00000700415.2
ENSG00000171735.22,ENSG00000298973.1,ENSG00000298973,lncRNA,chr1,7507509,7509131,7467902,7640399,ENST00000700415.2
ENSG00000171735.22,ENSG00000306883.1,ENSG00000306883,lncRNA,chr1,7557505,7558106,7467902,7640399,ENST00000700415.2
ENSG00000171735.22,ENSG00000302704.1,ENSG00000302704,lncRNA,chr1,7583643,7588823,7467902,7640399,ENST00000700415.2
ENSG00000171735.22,ENSG00000270171.1,ENSG00000270171,lncRNA,chr1,7693124,7694844,7677734,7732447,ENST00000700415.2
ENSG00000171735.22,ENSG00000270035.1,ENSG00000270035,lncRNA,chr1,7698303,7698872,7677734,7732447,ENST00000700415.2
ENSG00000171735.22,ENSG00000269978.2,ENSG00000269978,lncRNA,chr1,7700704,7702528,7677734,7732447,ENST00000700415.2
ENSG00000049245.14,ENSG00000269925.1,ENSG00000269925,lncRNA,chr1,7776383,7776775,7773512,7777159,ENST00001131236.1
ENSG00000049249.11,ENSG00000270330.1,ENSG00000270330,processed_pseudogene,chr1,7942372,7942726,7940934,7943138,ENST00000674210.1
ENSG00000116288.15,ENSG00000299004.1,ENSG00000299004,lncRNA,chr1,7960536,7961526,7952775,7962762,ENST00001093040.1
ENSG00000116288.15,ENSG00000200344.1,Y_RNA,misc_RNA,chr1,7982881,7982983,7977739,7984893,ENST00001093040.1
ENSG00000284747.1,ENSG00000284716.1,ENSG00000284716,lncRNA,chr1,7998187,7999934,7996444,8000087,ENST00000641354.1
ENSG00000238290.2,ENSG00000232848.1,RPL7AP18,processed_pseudogene,chr1,8057245,8058463,8029358,8121473,ENST00000445300.2
ENSG00000238290.2,ENSG00000301325.1,ENSG00000301325,lncRNA,chr1,8093486,8113404,8029358,8121473,ENST00000445300.2
ENSG00000227634.4,ENSG00000229305.1,EIF2S3P1,processed_pseudogene,chr1,8189824,8192770,8182509,8208666,ENST00000777791.1
ENSG00000227634.4,ENSG00000301344.1,ENSG00000301344,lncRNA,chr1,8197389,8203165,8182509,8208666,ENST00000777791.1
ENSG00000227634.4,ENSG00000200975.1,RNU1-7P,snRNA,chr1,8206434,8206597,8182509,8208666,ENST00000777791.1
ENSG00000301006.1,ENSG00000251977.1,RNU6-991P,snRNA,chr1,8292157,8292263,8257864,8294381,ENST00000775477.1
ENSG00000162426.18,ENSG00000252254.1,Y_RNA,misc_RNA,chr1,8328067,8328179,8326043,8330208,ENST00000876632.2
ENSG00000142599.22,ENSG00000232912.6,RERE-AS1,lncRNA,chr1,8424645,8435013,8422808,8465924,ENST00000377464.6
ENSG00000142599.22,ENSG00000221083.1,ENSG00000221083,snoRNA,chr1,8511795,8511919,8508676,8525758,ENST00000377464.6
ENSG00000142599.22,ENSG00000270282.1,ENSG00000270282,processed_pseudogene,chr1,8512653,8513021,8508676,8525758,ENST00000377464.6
ENSG00000142599.22,ENSG00000234619.1,RPL7P11,processed_pseudogene,chr1,8750430,8751087,8656442,8753761,ENST00000864419.2
ENSG00000142599.22,ENSG00000224315.2,RPL7P7,processed_pseudogene,chr1,8786211,8786913,8656442,8792403,ENST00000337907.8
ENSG00000142599.22,ENSG00000303676.1,ENSG00000303676,lncRNA,chr1,8789577,8790281,8656442,8792403,ENST00000337907.8
ENSG00000142599.22,ENSG00000222511.2,Y_RNA,misc_RNA,chr1,8796571,8796673,8792589,8817159,ENST00000337907.8
ENSG00000142599.22,ENSG00000226545.1,ENSG00000226545,unprocessed_pseudogene,chr1,8798475,8799506,8792589,8817159,ENST00000337907.8
ENSG00000142599.22,ENSG00000228423.2,ENSG00000228423,lncRNA,chr1,8805860,8807051,8792589,8817159,ENST00000337907.8
ENSG00000142599.22,ENSG00000229716.2,RPL23AP19,processed_pseudogene,chr1,8831007,8831375,8826232,8848016,ENST00000656437.1
ENSG00000074800.18,ENSG00000274258.1,MIR6728,miRNA,chr1,8866502,8866590,8866502,8867116,ENST00001113725.1
ENSG00000310107.1,ENSG00000232663.2,ENSG00000232663,processed_pseudogene,chr1,8909742,8909904,8908672,8926806,ENST00000847252.1
ENSG00000142583.20,ENSG00000252404.1,ENSG00000252404,scaRNA,chr1,9082696,9082879,9069595,9085013,ENST00000941832.2
ENSG00000228526.9,ENSG00000284357.1,MIR34A,miRNA,chr1,9151668,9151777,9140022,9182006,ENST00000782880.1
ENSG00000228526.9,ENSG00000289914.2,ENSG00000289914,lncRNA,chr1,9162321,9162945,9140022,9182006,ENST00000782880.1
ENSG00000228526.9,ENSG00000302015.1,ENSG00000302015,lncRNA,chr1,9163078,9163571,9140022,9182006,ENST00000782880.1
ENSG00000228526.9,ENSG00000301983.1,ENSG00000301983,lncRNA,chr1,9197190,9198761,9183756,9202578,ENST00000437157.4
ENSG00000049239.15,ENSG00000302217.1,ENSG00000302217,lncRNA,chr1,9241960,9242715,9235067,9244924,ENST00001124442.1
ENSG00000171621.16,ENSG00000294252.1,ENSG00000294252,lncRNA,chr1,9321174,9334689,9315778,9355742,ENST00000852374.2
ENSG00000284693.3,ENSG00000252956.1,RNA5SP40,rRNA_pseudogene,chr1,9437669,9437778,9427382,9440458,ENST00000641940.1
ENSG00000284693.3,ENSG00000301013.1,ENSG00000301013,lncRNA,chr1,9438728,9445143,9427382,9450065,ENST00000775385.1
ENSG00000284693.3,ENSG00000301030.1,ENSG00000301030,lncRNA,chr1,9448629,9449491,9445042,9450065,ENST00000775389.1
ENSG00000171612.9,ENSG00000231181.1,ENSG00000231181,processed_pseudogene,chr1,9576427,9576985,9573413,9579953,ENST00000983791.1
ENSG00000171608.20,ENSG00000179840.5,PIK3CD-AS1,lncRNA,chr1,9652610,9654586,9651803,9664595,ENST00000892287.2
ENSG00000171608.20,ENSG00000233268.3,ENSG00000233268,processed_pseudogene,chr1,9660828,9662626,9651803,9664595,ENST00000892287.2
ENSG00000171608.20,ENSG00000301080.1,ENSG00000301080,lncRNA,chr1,9672405,9687565,9630225,9691466,ENST00000698706.1
ENSG00000171608.20,ENSG00000231789.5,PIK3CD-AS2,lncRNA,chr1,9672405,9687604,9630225,9691466,ENST00000698706.1
ENSG00000171603.20,ENSG00000271264.1,MZT1P1,processed_pseudogene,chr1,9780822,9781240,9773395,9823642,ENST00000361311.5
ENSG00000178585.17,ENSG00000285701.2,ENSG00000285701,lncRNA,chr1,9900614,9908034,9877990,9909197,ENST00000851133.2
ENSG00000228150.2,ENSG00000162441.14,LZIC,protein_coding,chr1,9922113,9943407,9921145,9949637,ENST00000738448.1
ENSG00000228150.2,ENSG00000202415.1,RN7SKP269,misc_RNA,chr1,9947318,9947636,9921145,9949637,ENST00000738448.1
ENSG00000173614.16,ENSG00000202415.1,RN7SKP269,misc_RNA,chr1,9947318,9947636,9943516,9947696,ENST00000887500.2
ENSG00000173614.16,ENSG00000283611.2,TMEM274P,unitary_pseudogene,chr1,9950572,9960787,9943516,9972017,ENST00000403197.5
ENSG00000173614.16,ENSG00000265521.1,MIR5697,miRNA,chr1,9967381,9967458,9943516,9972017,ENST00000403197.5
ENSG00000173614.16,ENSG00000241326.1,ENSG00000241326,lncRNA,chr1,9983141,9984568,9981171,9985135,ENST00000496751.1
ENSG00000130939.22,ENSG00000224340.1,RPL21P21,processed_pseudogene,chr1,10054445,10054781,10033695,10072027,ENST00000377153.6
ENSG00000130939.22,ENSG00000233623.2,PGAM1P11,processed_pseudogene,chr1,10058671,10059648,10033695,10072027,ENST00000377153.6
ENSG00000130939.22,ENSG00000201746.1,RNU6-828P,snRNA,chr1,10163268,10163374,10161287,10168135,ENST00000892381.2
ENSG00000054523.22,ENSG00000264881.1,ENSG00000264881,miRNA,chr1,10227718,10227803,10210879,10232249,ENST00000696501.2
ENSG00000054523.22,ENSG00000199562.1,RNU6-37P,snRNA,chr1,10298966,10299072,10297247,10303162,ENST00001054150.1
ENSG00000054523.22,ENSG00000264501.2,RN7SL731P,misc_RNA,chr1,10306465,10306757,10297247,10320042,ENST00001113964.1
ENSG00000142655.15,ENSG00000307253.1,ENSG00000307253,lncRNA,chr1,10589712,10605367,10536298,10618331,ENST00000889279.2
ENSG00000142655.15,ENSG00000287727.1,ENSG00000287727,lncRNA,chr1,10612222,10616452,10599367,10618331,ENST00000889280.2
ENSG00000142655.15,ENSG00000243267.3,RN7SL614P,misc_RNA,chr1,10616836,10617115,10599367,10618331,ENST00000889280.2
ENSG00000130940.16,ENSG00000298629.1,ENSG00000298629,lncRNA,chr1,10728728,10731991,10705545,10760700,ENST00001145753.1
ENSG00000230337.5,ENSG00000171824.16,EXOSC10,protein_coding,chr1,11066613,11099907,11061074,11101800,ENST00000715292.1
ENSG00000198793.16,ENSG00000253086.1,RNU6-537P,snRNA,chr1,11152350,11152452,11150227,11157151,ENST00000934314.2
ENSG00000198793.16,ENSG00000171819.6,ANGPTL7,protein_coding,chr1,11189348,11195981,11167518,11199257,ENST00000934314.2
ENSG00000198793.16,ENSG00000207451.1,RNU6-291P,snRNA,chr1,11226254,11226360,11225758,11228667,ENST00000703132.1
ENSG00000198793.16,ENSG00000238173.1,RPL39P6,processed_pseudogene,chr1,11232963,11233112,11232529,11233397,ENST00000934314.2
ENSG00000120942.15,ENSG00000238199.1,UBE2V2P3,processed_pseudogene,chr1,11278616,11279351,11274061,11285643,ENST00001143532.1
ENSG00000302153.1,ENSG00000302176.1,ENSG00000302176,lncRNA,chr1,11355388,11356302,11350934,11363782,ENST00000784693.1
ENSG00000116670.19,ENSG00000116663.13,FBXO6,protein_coding,chr1,11664141,11674354,11659351,11674519,ENST00000717649.1
ENSG00000011021.25,ENSG00000275915.1,ENSG00000275915,misc_RNA,chr1,11847442,11847549,11845767,11847576,ENST00000400892.3
ENSG00000175206.13,ENSG00000275915.1,ENSG00000275915,misc_RNA,chr1,11847442,11847549,11847440,11847660,ENST00001101629.1
